date,stim_name,trial,dist_in_mm,stim_type,window_percentage,window_type,over_10000_ave_spectrum,below_audible_ave_spectrum,over_10000_sum_spectrum,below_audible_sum_spectrum,all_range_ave_spectrum,all_range_sum_spectrum,us_range_ave_spectrum,us_range_sum_spectrum,freq_over_3000_ave_spectrum,freq_over_3000_sum_spectrum,below_3000_ave_spectrum,below_3000_sum_spectrum,duration,voltage,window,label,over_10000_ave_spectrum_au,below_audible_ave_spectrum_au,over_10000_sum_spectrum_au,below_audible_sum_spectrum_au,all_range_ave_spectrum_au,all_range_sum_spectrum_au,us_range_ave_spectrum_au,us_range_sum_spectrum_au,freq_over_3000_ave_spectrum_au,freq_over_3000_sum_spectrum_au,below_3000_ave_spectrum_au,below_3000_sum_spectrum_au
20220812,1500mV_0.5ms_window_0.0%,0,8,undefined,0,rectangle,3.543682282958016e-10,1.154006384924587e-06,2.479557503308509e-05,0.0388773913775161,8.04560041596309e-07,0.5902049129238813,5.417201217712608e-06,0.5416277604337772,5.114073241368226e-10,3.93482840340217e-05,3.076037747666947e-05,0.03883797643793908,0.5,150,0,20220812_w_0,0.8543585767949725,0.9916551209644954,0.8548471748960431,0.9895757877773037,0.9748650138461779,0.9715092782818914,0.9698316835116075,0.9697663152078558,0.8291804283207401,0.8297640224781627,0.991698202452199,0.9896755633113863
20220812,1500mV_0.5ms_window_0.0%,1,8,undefined,0,rectangle,4.147769308118531e-10,1.141664088862641e-06,2.90058571417756e-05,0.03860329829212196,8.253040474004117e-07,0.6075134083821159,5.585712768320557e-06,0.5585136872048262,6.167624158381632e-10,4.742105341769895e-05,3.042854546766389e-05,0.03855574859178336,0.5,150,0,20220812_w_0,1.0,0.9810491994945821,1.0,0.9825990881765152,1.0,1.0,1.0,1.0,1.0,1.0,0.9810001150475002,0.9824837879347096
20220812,1500mV_0.5ms_window_0.0%,2,8,undefined,0,rectangle,3.795172260716701e-10,1.16371746641331e-06,2.655437259433841e-05,0.03928692663837199,8.206714853446005e-07,0.6027267173161339,5.527995209105093e-06,0.5527478285553487,5.682124881070057e-10,4.371233982541973e-05,3.101788165049352e-05,0.03924313974974777,0.5,150,0,20220812_w_0,0.9149911624275527,1.0,0.9154831199969454,1.0,0.9943868419518805,0.9921208470464389,0.9896669303257393,0.9896764237268137,0.9212826098276765,0.9217918345336669,1.0,1.0
20220812,1500mV_0.5ms_window_10.0%,0,8,undefined,10,humming,2.869117984644719e-10,1.025302370345332e-06,2.007995697920956e-05,0.03484693567423516,7.334062612694078e-07,0.5395477556023901,5.046057638438725e-06,0.5045289881852039,5.006818096359419e-10,3.850327829294425e-05,2.73285457094282e-05,0.0348083434549728,0.5,150,20,20220812_w_20,0.6917255448679182,0.8810578168130563,0.6922724910717932,0.8869855357990708,0.8886497813497116,0.8881248514979665,0.9033865233918769,0.9033422094097682,0.8117904022337823,0.8119448118074426,0.8810577723315731,0.8869918074074725
20220812,1500mV_0.5ms_window_10.0%,1,8,undefined,10,humming,2.726598818617829e-10,1.047012282123593e-06,1.908285684120521e-05,0.03553408239670072,7.365671102278612e-07,0.541026788863326,5.054057927229641e-06,0.5053293691018113,4.610084825924826e-10,3.546764473072943e-05,2.790849497224261e-05,0.0354985687010844,0.5,150,20,20220812_w_20,0.6573651078619512,0.8997134719912613,0.657896670590754,0.9044760035261751,0.8924797019328101,0.8905594204153419,0.904818800546601,0.9047752645612239,0.7474652649934654,0.7479303426332543,0.8997550279775008,0.9045802381628387
20220812,1500mV_0.5ms_window_10.0%,2,8,undefined,10,humming,2.731724187294193e-10,1.034191325399604e-06,1.911930058919405e-05,0.03504715803836685,7.262768847267229e-07,0.5333333597448865,4.981750988585312e-06,0.4981009133085327,4.495494870271804e-10,3.457789671618086e-05,2.756689690715575e-05,0.03501252801577442,0.5,150,20,20220812_w_20,0.6586008006634606,0.8886962301829859,0.6591530977947737,0.8920819477931852,0.8800112964602439,0.8778956190699064,0.8918738208021324,0.891832957221444,0.7288859948060469,0.7291676212168531,0.8887420881211963,0.892194871232225
20220812,1500mV_0.5ms_window_25.0%,0,8,undefined,25,humming,2.093092249027903e-10,1.017491341053968e-06,1.464768273173009e-05,0.03441170855777135,6.324441533748086e-07,0.4589677250511744,4.244370512466013e-06,0.4243720824748574,3.668043040123451e-10,2.821740491465862e-05,2.712368778430284e-05,0.03438344245070989,0.5,150,50,20220812_w_50,0.5046308252802396,0.8743456813361882,0.5049905148513543,0.8759073692509468,0.7663165537197063,0.755485753431291,0.7598619349956581,0.7598239616985887,0.5947254479082811,0.5950396054282304,0.8744532618290932,0.8761644116646118
20220812,1500mV_0.5ms_window_25.0%,1,8,undefined,25,humming,1.986690544935689e-10,1.023437038889023e-06,1.390663147702753e-05,0.03460532089896821,6.333613733766131e-07,0.4594194566269202,4.24696800393247e-06,0.4246366615293702,3.456623490922861e-10,2.659136584062276e-05,2.728278237008058e-05,0.03457868017336851,0.5,150,50,20220812_w_50,0.47897807167025674,0.8794549093117552,0.47944218331678073,0.8808355313079848,0.7674279259523926,0.7562293280907356,0.7603269591696881,0.7602976816101578,0.5604465191390439,0.560750213758391,0.8795823866213793,0.8811394907205599
20220812,1500mV_0.5ms_window_25.0%,2,8,undefined,25,humming,2.00883694118119e-10,1.029042812525452e-06,1.406050974231622e-05,0.03472451674962584,6.254030469125754e-07,0.4527235299726139,4.178811830283015e-06,0.417811346609552,3.489058509042679e-10,2.686261390241144e-05,2.743218641717218e-05,0.03469763866053217,0.5,150,50,20220812_w_50,0.48431742268048605,0.8842720352879653,0.4847472589274258,0.8838695138781868,0.757785023449848,0.7452074698701272,0.7481250833346106,0.748077184465358,0.5657054352608604,0.5664702060875247,0.8843990936026964,0.8841708100268706
20220812,1500mV_1.0ms_window_0.0%,0,8,undefined,0,rectangle,3.641601849371914e-10,1.180763551076182e-06,2.548016505947462e-05,0.04017401746993901,1.507683395079605e-06,1.151859649187001,1.101922007000728e-05,1.101765627638517,4.909445939968685e-10,3.77650558801446e-05,3.147442711745228e-05,0.04013616161314009,1.0,150,0,20220812_w_0,0.8779663425938653,1.0146479580781835,0.8784489606679089,1.0225797970844732,1.8268217632381538,1.8960234182395204,1.9727509320749415,1.9726743549517733,0.7960027741471377,0.7963774137933756,1.014718782929894,1.022756126780046
