stim_name,over_10000_ave_spectrum,below_audible_ave_spectrum,over_10000_sum_spectrum,below_audible_sum_spectrum,all_range_ave_spectrum,all_range_sum_spectrum,us_range_ave_spectrum,us_range_sum_spectrum,freq_over_3000_ave_spectrum,freq_over_3000_sum_spectrum,below_3000_ave_spectrum,below_3000_sum_spectrum,duration,window,over_10000_ave_spectrum_au,below_audible_ave_spectrum_au,over_10000_sum_spectrum_au,below_audible_sum_spectrum_au,all_range_ave_spectrum_au,all_range_sum_spectrum_au,us_range_ave_spectrum_au,us_range_sum_spectrum_au,freq_over_3000_ave_spectrum_au,freq_over_3000_sum_spectrum_au,below_3000_ave_spectrum_au,below_3000_sum_spectrum_au
1500mV_0.5ms_window_0.0%,4.21003731264293e-08,5.8889335751368365e-06,0.002946327853564279,0.20072334650046028,1.6435533650919793e-06,1.0444514031483836,7.914832222192551e-06,0.791461843586248,4.6203304434953534e-08,0.003556585619529836,0.00015585234385648514,0.19715809340132046,0.5,0.0,0.7044271340416502,0.8004716315410201,0.704766689193846,0.7999703526063501,0.04554195455887111,0.03613420316913823,0.027040523799331535,0.027040776549697974,0.7149314547470341,0.7149227972685546,0.7931811015098206,0.783485450518891
1500mV_0.5ms_window_10.0%,2.479822385542056e-08,6.90698119826107e-06,0.0017352050637184236,0.23459449543698596,1.3008874060489439e-06,0.7227459358431673,4.874675720376544e-06,0.4874378565152437,3.1343352342205246e-08,0.002412769132069471,0.0001833816859101786,0.23216551830549947,0.5,20.0,0.6813689274786917,0.7334164088607932,0.6817942566442939,0.7247284379640777,0.04000432630641266,0.028740565122921807,0.01973305507935317,0.01973304411158602,0.7171861394809956,0.7172084562778277,0.731657679546121,0.7207215768273815
1500mV_0.5ms_window_25.0%,4.092850382095024e-08,5.753606340624338e-06,0.0028646062381857554,0.19613099294618552,1.2362562780105597e-06,0.724847530117859,5.277165711968342e-06,0.5276968643234936,4.61480173511996e-08,0.00355392278597291,0.00015224503663796823,0.19257079607356123,0.5,50.0,0.6198494925189727,0.7846069549459729,0.6202526895350593,0.7842263774170856,0.035154383995683956,0.025859062093072985,0.018418577059327333,0.018418596261978438,0.6522892979052125,0.6525787404842259,0.7781241221292767,0.7695673929794059
1500mV_1.0ms_window_0.0%,4.0104679029735344e-08,6.454307571854222e-06,0.002806079930524822,0.21965151615408943,2.5908544319104702e-06,1.7759904922207383,1.5034805878210811e-05,1.5034386577854382,4.5209502415109016e-08,0.003479184670887694,0.00017095449135412483,0.21615713813312754,1.0,0.0,0.7223293306367807,0.8085845450792769,0.7226026423804712,0.8078301680541597,0.07157299919595418,0.06155443486905366,0.05197976730644429,0.051980461322335726,0.7287946820382255,0.7286642476774184,0.8022935573756979,0.7936219650823505
1500mV_1.0ms_window_10.0%,2.4650657485676675e-08,7.002043845841989e-06,0.0017240475895974727,0.23738411583791974,2.010124264727565e-06,1.285320046283361,1.0472822216222317e-05,1.0472238534624003,3.0757300684579484e-08,0.002367745612649361,0.00018593173183821554,0.2350106886890636,1.0,20.0,0.5668096248261992,0.7553119837420375,0.5670278412671506,0.7488769141387995,0.0617028912246442,0.05051522764954572,0.041619165029398365,0.04161936791341739,0.6266958099931498,0.6264403174840608,0.7530697187766026,0.7438186809457387
1500mV_1.0ms_window_25.0%,3.98581259989331e-08,6.586473593339925e-06,0.002789826739864611,0.22403781609033627,2.124526665649308e-06,1.396741299136169,1.1717041581118043e-05,1.1716670321853984,4.478771956460079e-08,0.0034485553282309696,0.00017448974435357322,0.22058329435658866,1.0,50.0,0.6266039439656519,0.7937316180282908,0.6270334344813049,0.793383564359431,0.0590084014477789,0.048597908405208924,0.04028163670481393,0.040281979439135494,0.6522583034389483,0.6523954997524974,0.7878187792677186,0.7800271063788035
1500mV_10.0ms_window_0.0%,2.1461871230568214e-08,8.044758453912115e-06,0.0015017477701155565,0.2734350275927635,1.5447078851556476e-05,11.987517442144968,0.00011683136262427014,11.682419161601304,2.730043176342552e-08,0.0021016414294654008,0.00021382618102239515,0.2713240345555035,10.0,0.0,0.6799864709256017,0.8224187443158694,0.6803842172132358,0.8196120769327262,0.4781522847912461,0.4715760323773977,0.465579802756605,0.4655773292842642,0.6868909310367818,0.6870079260082083,0.8214336027058615,0.8173826678638648
1500mV_10.0ms_window_10.0%,2.1226346401137567e-08,7.800259485717503e-06,0.0014854178808566792,0.26525599981532405,1.3077001896324173e-05,10.102836781136935,9.837356314430036e-05,9.83681163619325,2.6861794990647794e-08,0.0020659304804761676,0.0002073174668810401,0.2631796841765459,10.0,20.0,0.5675324127434815,0.7943441935188565,0.5679916827457291,0.7921250972221191,0.41156057282189434,0.4046724740195206,0.3994659031630676,0.3994694976488649,0.5352708664950702,0.5349306150258643,0.7939129839346241,0.7911372955689645
1500mV_10.0ms_window_25.0%,2.1598333108387626e-08,7.277948528788938e-06,0.0015115036410449235,0.2473226445801393,1.0832925743557647e-05,8.331427365178039,8.083816125374762e-05,8.083357545482464,2.7375928681307705e-08,0.0021056068568531864,0.00019337597859821808,0.24520223064594823,10.0,50.0,0.5452902707861543,0.7543100758503197,0.5456711272750351,0.7505822053495669,0.34050071861282966,0.33327884383123263,0.32776148561317603,0.327764044920884,0.5344363736792265,0.5341262866210111,0.7530216001416715,0.7476591968593742
1500mV_20.0ms_window_0.0%,1.7447869116717788e-08,7.945804918645089e-06,0.0012209238866846316,0.2711303299495273,2.916080458521857e-05,22.96410962815479,0.00022662066093908682,22.660939362166733,2.2472632413843245e-08,0.0017303026626744415,0.00021131133359858042,0.26939412917232336,20.0,0.0,0.6367411724432694,0.8597430336470131,0.6370595581706063,0.8598016131833064,0.9163049666205624,0.9168999550628629,0.9169608911124034,0.9169769736202484,0.6384886636237606,0.6385759012106389,0.8601907704768229,0.8607763023915512
1500mV_20.0ms_window_10.0%,1.9716847427551624e-08,6.757783589898208e-06,0.0013798810733128466,0.23185904966399565,2.7067135375508052e-05,21.344944666764885,0.00021113346482637784,21.112281348768914,2.520673813139392e-08,0.0019387263507190525,0.00017956058945191308,0.22990254330624463,20.0,20.0,0.5265582846660399,0.7729803601717841,0.5269794881657403,0.7781864476350312,0.8393588415055909,0.8393195024087271,0.8397800558034509,0.8397925347254599,0.5081693866600446,0.5078738871679567,0.772138579748242,0.7762425185661566
1500mV_20.0ms_window_25.0%,1.7436178295915942e-08,7.050068170610906e-06,0.0012202597726257967,0.24076646169283858,2.1961881495538583e-05,17.246266211512438,0.0001700510937444839,17.004243478719538,2.292108694962245e-08,0.001763035319382408,0.00018741350998458385,0.23899323197402622,20.0,50.0,0.5021936664995893,0.7634072887825125,0.5026863425503202,0.7653826637392163,0.6871499214819945,0.6852331239803227,0.6841386517393285,0.6841487044218021,0.48499906696279677,0.4847937104047873,0.763900378005371,0.7664547333560994
1500mV_5.0ms_window_0.0%,2.355600112128938e-08,7.117388618876621e-06,0.0016487528255024347,0.24213618829212927,7.839928182538657e-06,5.944687668484298,5.670221137113024e-05,5.669857685892347,2.9706153047943293e-08,0.0022849384508959957,0.00018903457190847935,0.2398396823963819,5.0,0.0,0.6840559908269005,0.7813919836227629,0.6845351520720523,0.7753056453653321,0.2442777626013866,0.23548223391381493,0.2274602847018796,0.22745857239267928,0.7016420423711899,0.7012955248271492,0.7795884744287968,0.771230167288027
1500mV_5.0ms_window_10.0%,2.284614303577697e-08,7.0362052805288655e-06,0.0015985952501836077,0.23909213002631224,7.565868123351545e-06,5.728890227921816,5.489305940528191e-05,5.489024769656894,2.9315585617526627e-08,0.0022573665846266884,0.00018687970744991995,0.2368315654874259,5.0,20.0,0.5129456727107332,0.7665504231175758,0.5133104731274312,0.7622781748787494,0.2315224678363711,0.22255335374118027,0.21552529291090905,0.21552753011123396,0.5303629813382355,0.5304448253621022,0.7648934175135199,0.7585216019579928
1500mV_5.0ms_window_25.0%,2.2516962211878327e-08,6.845359319800512e-06,0.0015759146499544038,0.23282599784695193,6.078058035830656e-06,4.547643686192099,4.314308008159157e-05,4.314091526023016,2.8602411089046005e-08,0.00220163593317022,0.00018180878664339484,0.23061523132828007,5.0,50.0,0.5716158806378474,0.7407643385924446,0.5720634916629489,0.7345504083367985,0.18652972079781216,0.1773992650934362,0.1701964480657366,0.17019862947600262,0.5532961298277768,0.5532885087578302,0.7397201425337818,0.7321847232869331
