stim_name,over_10000_ave_spectrum,below_audible_ave_spectrum,over_10000_sum_spectrum,below_audible_sum_spectrum,all_range_ave_spectrum,all_range_sum_spectrum,us_range_ave_spectrum,us_range_sum_spectrum,freq_over_3000_ave_spectrum,freq_over_3000_sum_spectrum,below_3000_ave_spectrum,below_3000_sum_spectrum,duration,window,over_10000_ave_spectrum_au,below_audible_ave_spectrum_au,over_10000_sum_spectrum_au,below_audible_sum_spectrum_au,all_range_ave_spectrum_au,all_range_sum_spectrum_au,us_range_ave_spectrum_au,us_range_sum_spectrum_au,freq_over_3000_ave_spectrum_au,freq_over_3000_sum_spectrum_au,below_3000_ave_spectrum_au,below_3000_sum_spectrum_au
1500mV_0.5ms_window_0.0%,4.21003731264293e-08,5.8889335751368365e-06,0.002946327853564279,0.20072334650046028,1.6435533650919793e-06,1.0444514031483836,7.914832222192551e-06,0.791461843586248,4.6203304434953534e-08,0.003556585619529836,0.00015585234385648514,0.19715809340132046,0.5,0.0,0.8200583751866883,0.9515086715312543,0.8200719338638348,0.9615138991666579,0.8478047291455264,0.8391877313576133,0.8313164783105544,0.8313084421254247,0.8204524187759239,0.8208016617126757,0.944696979028136,0.9461741932422215
1500mV_0.5ms_window_10.0%,2.479822385542056e-08,6.90698119826107e-06,0.0017352050637184236,0.23459449543698596,1.3008874060489439e-06,0.7227459358431673,4.874675720376544e-06,0.4874378565152437,3.1343352342205246e-08,0.002412769132069471,0.0001833816859101786,0.23216551830549947,0.5,20.0,0.8563313598064619,0.903457091659137,0.8562685760188362,0.9072153265449264,0.7384061120381825,0.7175397468826422,0.7031001689388151,0.7030786909000805,0.8856146974486245,0.8862305801441889,0.9021261157163352,0.9042158594006328
1500mV_0.5ms_window_25.0%,4.092850382095024e-08,5.753606340624338e-06,0.0028646062381857554,0.19613099294618552,1.2362562780105597e-06,0.724847530117859,5.277165711968342e-06,0.5276968643234936,4.61480173511996e-08,0.00355392278597291,0.00015224503663796823,0.19257079607356123,0.5,50.0,0.7290779597486403,0.9227496294638714,0.7291294357962775,0.9317145182878499,0.6398314110405484,0.607480248477884,0.5784263777939483,0.5784131457234262,0.7607667979003434,0.7615241097952894,0.9167692673517406,0.9182576869961555
1500mV_1.0ms_window_0.0%,4.0104679029735344e-08,6.454307571854222e-06,0.002806079930524822,0.21965151615408943,2.5908544319104702e-06,1.7759904922207383,1.5034805878210811e-05,1.5034386577854382,4.5209502415109016e-08,0.003479184670887694,0.00017095449135412483,0.21615713813312754,1.0,0.0,0.8553523530910606,0.9661755590099749,0.8552610551823498,0.9775431041571477,1.4169791214142164,1.4768774563838716,1.618035989830076,1.6180285148523257,0.8536423250835807,0.8538979126072641,0.9604008506693554,0.9645685064595966
1500mV_1.0ms_window_10.0%,2.4650657485676675e-08,7.002043845841989e-06,0.0017240475895974727,0.23738411583791974,2.010124264727565e-06,1.285320046283361,1.0472822216222317e-05,1.0472238534624003,3.0757300684579484e-08,0.002367745612649361,0.00018593173183821554,0.2350106886890636,1.0,20.0,0.7001209512804955,0.9307707234085325,0.6999194228273012,0.9389740995215661,1.27308000443262,1.3237425082907956,1.4605834057452645,1.46054805699752,0.7577103535134312,0.7579810985850455,0.9289563084099982,0.934932678169874
1500mV_1.0ms_window_25.0%,3.98581259989331e-08,6.586473593339925e-06,0.002789826739864611,0.22403781609033627,2.124526665649308e-06,1.396741299136169,1.1717041581118043e-05,1.1716670321853984,4.478771956460079e-08,0.0034485553282309696,0.00017448974435357322,0.22058329435658866,1.0,50.0,0.7507164291684545,0.9393976626328677,0.7507873478487201,0.9497750205736738,1.1429960069606457,1.1633566643435007,1.2446402638356622,1.244625221387053,0.7727645290042953,0.7733777617565071,0.934027218365567,0.9377158555805359
1500mV_10.0ms_window_0.0%,2.1461871230568214e-08,8.044758453912115e-06,0.0015017477701155565,0.2734350275927635,1.5447078851556476e-05,11.987517442144968,0.00011683136262427014,11.682419161601304,2.730043176342552e-08,0.0021016414294654008,0.00021382618102239515,0.2713240345555035,10.0,0.0,0.8392682173471151,1.0829919283090732,0.8392402139567858,1.1238967824783546,11.48412260040447,13.053144200177028,16.376323792186927,16.375727824559508,0.8349485712941002,0.8356177319129663,1.0824966543310532,1.1228606132951509
1500mV_10.0ms_window_10.0%,2.1226346401137567e-08,7.800259485717503e-06,0.0014854178808566792,0.26525599981532405,1.3077001896324173e-05,10.102836781136935,9.837356314430036e-05,9.83681163619325,2.6861794990647794e-08,0.0020659304804761676,0.0002073174668810401,0.2631796841765459,10.0,20.0,0.715364834463872,1.026456441981803,0.71536006004873,1.0628248002058889,9.932468424987666,11.311689339467597,14.264932600592727,14.264656691872295,0.6779855350941465,0.6780766798920514,1.0265482616672221,1.0631103505327968
1500mV_10.0ms_window_25.0%,2.1598333108387626e-08,7.277948528788938e-06,0.0015115036410449235,0.2473226445801393,1.0832925743557647e-05,8.331427365178039,8.083816125374762e-05,8.083357545482464,2.7375928681307705e-08,0.0021056068568531864,0.00019337597859821808,0.24520223064594823,10.0,50.0,0.6873652447386607,0.9652250507513003,0.6873497671169573,0.9916165324444854,8.222390452230368,9.33236724381881,11.69961417547668,11.699373306703926,0.676528032944443,0.6766120681429221,0.9644154807306542,0.9898541891858494
1500mV_20.0ms_window_0.0%,1.7447869116717788e-08,7.945804918645089e-06,0.0012209238866846316,0.2711303299495273,2.916080458521857e-05,22.96410962815479,0.00022662066093908682,22.660939362166733,2.2472632413843245e-08,0.0017303026626744415,0.00021131133359858042,0.26939412917232336,20.0,0.0,0.7854484626868948,1.204034004524353,0.7853802691014672,1.2777337370736384,22.45640060758009,25.719352650442854,32.60876117289111,32.60844644765755,0.7734119052704614,0.7740083806750552,1.2050421210182494,1.28010152298479
1500mV_20.0ms_window_10.0%,1.9716847427551624e-08,6.757783589898208e-06,0.0013798810733128466,0.23185904966399565,2.7067135375508052e-05,21.344944666764885,0.00021113346482637784,21.112281348768914,2.520673813139392e-08,0.0019387263507190525,0.00017956058945191308,0.22990254330624463,20.0,20.0,0.658534762188618,1.0630409679455168,0.6585641597157497,1.1344391393194415,20.822485674850665,23.646519260339385,29.43062358777539,29.430219669956188,0.6388859168581448,0.6389795319911507,1.0626956662039146,1.133745364123232
1500mV_20.0ms_window_25.0%,1.7436178295915942e-08,7.050068170610906e-06,0.0012202597726257967,0.24076646169283858,2.1961881495538583e-05,17.246266211512438,0.0001700510937444839,17.004243478719538,2.292108694962245e-08,0.001763035319382408,0.00018741350998458385,0.23899323197402622,20.0,50.0,0.6262152662301231,1.0149268391017585,0.6263241472235,1.0689742822031603,16.910182851292685,19.27687802553184,24.225586821336858,24.22526404604424,0.6091260621539271,0.6093199580152848,1.015929115832341,1.0713012798781634
1500mV_5.0ms_window_0.0%,2.355600112128938e-08,7.117388618876621e-06,0.0016487528255024347,0.24213618829212927,7.839928182538657e-06,5.944687668484298,5.670221137113024e-05,5.669857685892347,2.9706153047943293e-08,0.0022849384508959957,0.00018903457190847935,0.2398396823963819,5.0,0.0,0.8439883925300026,0.9979768462392924,0.8440622515122357,1.0193850947310588,5.871591419989883,6.580852508025934,8.027670588719134,8.027341111128274,0.8527049633324998,0.8528076444771129,0.9966150020961266,1.01637129541394
1500mV_5.0ms_window_10.0%,2.284614303577697e-08,7.0362052805288655e-06,0.0015985952501836077,0.23909213002631224,7.565868123351545e-06,5.728890227921816,5.489305940528191e-05,5.489024769656894,2.9315585617526627e-08,0.0022573665846266884,0.00018687970744991995,0.2368315654874259,5.0,20.0,0.6328471812454258,0.9638519930117599,0.6328274932066701,0.9841339612505338,5.497894625889796,6.137382193815575,7.479163762092412,7.47902692477384,0.6542552400906448,0.654846522722733,0.9626576963968786,0.9814939634756716
1500mV_5.0ms_window_25.0%,2.2516962211878327e-08,6.845359319800512e-06,0.0015759146499544038,0.23282599784695193,6.078058035830656e-06,4.547643686192099,4.314308008159157e-05,4.314091526023016,2.8602411089046005e-08,0.00220163593317022,0.00018180878664339484,0.23061523132828007,5.0,50.0,0.7227328744870061,0.9279328575880476,0.7227429256958833,0.9425358037068073,4.391745305266676,4.888798315366251,5.9455174708725735,5.945432515300843,0.7030947379696674,0.703622067742736,0.9273643250458603,0.9413107664369718
