date,stim_name,trial,dist_in_mm,stim_type,window_percentage,window_type,over_10000_ave_spectrum,below_audible_ave_spectrum,over_10000_sum_spectrum,below_audible_sum_spectrum,all_range_ave_spectrum,all_range_sum_spectrum,us_range_ave_spectrum,us_range_sum_spectrum,freq_over_3000_ave_spectrum,freq_over_3000_sum_spectrum,below_3000_ave_spectrum,below_3000_sum_spectrum,duration,voltage,window,label,over_10000_ave_spectrum_au,below_audible_ave_spectrum_au,over_10000_sum_spectrum_au,below_audible_sum_spectrum_au,all_range_ave_spectrum_au,all_range_sum_spectrum_au,us_range_ave_spectrum_au,us_range_sum_spectrum_au,freq_over_3000_ave_spectrum_au,freq_over_3000_sum_spectrum_au,below_3000_ave_spectrum_au,below_3000_sum_spectrum_au
20220812,1500mV_0.5ms_window_0.0%,0,8,undefined,0,rectangle,3.543682282958016e-10,1.154006384924587e-06,2.479557503308509e-05,0.0388773913775161,8.04560041596309e-07,0.5902049129238813,5.417201217712608e-06,0.5416277604337772,5.114073241368226e-10,3.93482840340217e-05,3.076037747666947e-05,0.03883797643793908,0.5,150,0,20220812_w_0,0.7924860241575239,0.45409051655996313,0.792980288947435,0.3962779877586949,0.027860356128822004,0.025663931956323927,0.023664376482427384,0.023663062341081002,0.8291804283207401,0.8297640224781627,0.45400007262595055,0.39606330733366324
20220812,1500mV_0.5ms_window_0.0%,1,8,undefined,0,rectangle,4.147769308118531e-10,1.141664088862641e-06,2.90058571417756e-05,0.03860329829212196,8.253040474004117e-07,0.6075134083821159,5.585712768320557e-06,0.5585136872048262,6.167624158381632e-10,4.742105341769895e-05,3.042854546766389e-05,0.03855574859178336,0.5,150,0,20220812_w_0,0.9275801117727918,0.44923394066270644,0.9276281331149843,0.3934841517401245,0.028578680876958865,0.026416558781312355,0.02440049844189706,0.02440078807646475,1.0,1.0,0.44910248135606406,0.393185194094455
20220812,1500mV_0.5ms_window_0.0%,2,8,undefined,0,rectangle,3.795172260716701e-10,1.16371746641331e-06,2.655437259433841e-05,0.03928692663837199,8.206714853446005e-07,0.6027267173161339,5.527995209105093e-06,0.5527478285553487,5.682124881070057e-10,4.371233982541973e-05,3.101788165049352e-05,0.03924313974974777,0.5,150,0,20220812_w_0,0.8487276047156661,0.45791173459408885,0.8492278975010477,0.4004523884408883,0.028418264224389728,0.026208418674167656,0.02414836639141025,0.02414888467963151,0.9212826098276765,0.9217918345336669,0.4578006408636542,0.40019509626817773
20220812,1500mV_0.5ms_window_10.0%,0,8,undefined,10,humming,2.869117984644719e-10,1.025302370345332e-06,2.007995697920956e-05,0.03484693567423516,7.334062612694078e-07,0.5395477556023901,5.046057638438725e-06,0.5045289881852039,5.006818096359419e-10,3.850327829294425e-05,2.73285457094282e-05,0.0348083434549728,0.5,150,20,20220812_w_20,0.6416308582246789,0.4034467131745476,0.6421714384997872,0.35519547632325893,0.02539643851257268,0.023461202344740337,0.022043081456454294,0.022042261812333194,0.8117904022337823,0.8119448118074426,0.4033488128112977,0.35496977175451844
20220812,1500mV_0.5ms_window_10.0%,1,8,undefined,10,humming,2.726598818617829e-10,1.047012282123593e-06,1.908285684120521e-05,0.03553408239670072,7.365671102278612e-07,0.541026788863326,5.054057927229641e-06,0.5053293691018113,4.610084825924826e-10,3.546764473072943e-05,2.790849497224261e-05,0.0354985687010844,0.5,150,20,20220812_w_20,0.609758800226122,0.41198935659718866,0.6102834603226649,0.3621995758995261,0.02550589259070115,0.02352551527765334,0.022078029732936506,0.02207722948738575,0.7474652649934654,0.7479303426332543,0.411908428428395,0.3620085754938684
20220812,1500mV_0.5ms_window_10.0%,2,8,undefined,10,humming,2.731724187294193e-10,1.034191325399604e-06,1.911930058919405e-05,0.03504715803836685,7.262768847267229e-07,0.5333333597448865,4.981750988585312e-06,0.4981009133085327,4.495494870271804e-10,3.457789671618086e-05,2.756689690715575e-05,0.03501252801577442,0.5,150,20,20220812_w_20,0.6109050042930629,0.40694443229031874,0.6114489575443247,0.35723634667878085,0.02514956200965615,0.023190981225016782,0.02176216577485121,0.021761426988767308,0.7288859948060469,0.7291676212168531,0.40686669750438587,0.3570520123827547
20220812,1500mV_0.5ms_window_25.0%,0,8,undefined,25,humming,2.093092249027903e-10,1.017491341053968e-06,1.464768273173009e-05,0.03441170855777135,6.324441533748086e-07,0.4589677250511744,4.244370512466013e-06,0.4243720824748574,3.668043040123451e-10,2.821740491465862e-05,2.712368778430284e-05,0.03438344245070989,0.5,150,50,20220812_w_50,0.46808551731744086,0.40037314757550435,0.46844340853233646,0.3507591980695167,0.021900316239486392,0.01995733381396175,0.018541009960918443,0.018540303464827133,0.5947254479082811,0.5950396054282304,0.40032526367067167,0.3506367010728706
20220812,1500mV_0.5ms_window_25.0%,1,8,undefined,25,humming,1.986690544935689e-10,1.023437038889023e-06,1.390663147702753e-05,0.03460532089896821,6.333613733766131e-07,0.4594194566269202,4.24696800393247e-06,0.4246366615293702,3.456623490922861e-10,2.659136584062276e-05,2.728278237008058e-05,0.03457868017336851,0.5,150,50,20220812_w_50,0.44429053325661305,0.4027127230202329,0.44474405744671736,0.35273269233588134,0.02193207779185985,0.019976976497661263,0.018552356782552307,0.01855186260399693,0.5604465191390439,0.560750213758391,0.4026733802876499,0.3526277033146076
20220812,1500mV_0.5ms_window_25.0%,2,8,undefined,25,humming,2.00883694118119e-10,1.029042812525452e-06,1.406050974231622e-05,0.03472451674962584,6.254030469125754e-07,0.4527235299726139,4.178811830283015e-06,0.417811346609552,3.489058509042679e-10,2.686261390241144e-05,2.743218641717218e-05,0.03469763866053217,0.5,150,50,20220812_w_50,0.4492432090634757,0.4049185415317575,0.44966519483145395,0.3539476579026068,0.021656496358512,0.01968581693209727,0.018254624930250273,0.018253672842977627,0.5657054352608604,0.5664702060875247,0.40487847183054926,0.3538408224362162
20220812,1500mV_1.0ms_window_0.0%,0,8,undefined,0,rectangle,3.641601849371914e-10,1.180763551076182e-06,2.548016505947462e-05,0.04017401746993901,1.507683395079605e-06,1.151859649187001,1.101922007000728e-05,1.101765627638517,4.909445939968685e-10,3.77650558801446e-05,3.147442711745228e-05,0.04013616161314009,1.0,150,0,20220812_w_0,0.8143841181959668,0.46461920648593136,0.8148739694211706,0.4094945221138762,0.05220815619066651,0.05008641407866907,0.04813610604434558,0.048134808879055024,0.7960027741471377,0.7963774137933756,0.46453890912169266,0.4093019866156091
