date,filename,stim_params,abr_z_score,abr_latency,lfp_z_score_100,lfp_latency_100,lfp_ampliture_100,lfp_z_score_200,lfp_latency_200,lfp_ampliture_200,lfp_z_score_300,lfp_latency_300,lfp_ampliture_300,lfp_z_score_400,lfp_latency_400,lfp_ampliture_400,lfp_z_score_500,lfp_latency_500,lfp_ampliture_500,lfp_z_score_600,lfp_latency_600,lfp_ampliture_600,lfp_z_score_700,lfp_latency_700,lfp_ampliture_700,lfp_z_score_800,lfp_latency_800,lfp_ampliture_800
20221125,09_us_burst,150V_d_66.7ms_f_500.0kHz_w_0%_prf_1500Hz_pd_0us,7.4515965365216585,1.04,54.67081080379633,28.0,-20.518535213247812,66.70899542575233,29.0,-31.521416452608225,82.14292204756191,29.0,-45.36795412056177,104.33615975215545,30.0,-65.00499443321377,84.2994701306305,30.0,-78.96369904395672,111.14128952742699,31.0,-93.34224003298273,138.13730376883888,30.0,-97.56980331955252,177.27204509884598,29.0,-109.28501470543532
20221125,09_us_burst,200V_d_66.7ms_f_500.0kHz_w_0%_prf_1500Hz_pd_0us,9.96456527617059,3.04,48.41053502110435,27.0,-17.327702741214736,70.42419019802904,30.0,-29.10123001276751,99.06251797246365,32.0,-46.189625068397376,149.04045911378537,33.0,-67.63032549550097,112.74020853870901,34.0,-81.63751386946741,105.48693351625172,32.0,-94.16500343886794,133.77630248260965,31.0,-97.62296565311892,139.69707935892887,30.0,-108.90830667102384
20221125,09_us_burst,200V_d_66.7ms_f_500.0kHz_w_25%_prf_1500Hz_pd_0us,9.702220625897823,1.08,25.96686971216424,28.0,-16.895659331681664,37.15746129347162,32.0,-29.52502061420842,67.75672895377824,32.0,-48.122563343567606,117.9457174682246,36.0,-72.1561654532466,130.19349878659233,36.0,-85.481766875152,131.80378579757271,34.0,-96.9171190076301,132.7292141048522,33.0,-97.15230622644091,142.40610252379562,29.0,-105.71718920993435
20221125,09_us_burst,150V_d_66.7ms_f_500.0kHz_w_25%_prf_1500Hz_pd_0us,6.863615606010668,1.08,38.28000334441256,28.0,-16.712494490211576,45.50534571193844,30.0,-28.77861052635579,68.8305708827903,33.0,-47.839391092382044,153.74708058277145,35.0,-69.01511106973493,158.4870548735714,35.0,-82.11192565205496,130.06932187763704,35.0,-93.34957850118556,161.15101568483516,33.0,-94.90515564202335,169.25687268469315,31.0,-104.47216701878646
20221125,08_us_cont_500us,150V_d_0.5ms_f_500.0kHz_w_10%,4.635641128968086,1.72,43.22795010138536,29.0,-14.355967480848737,57.30542968148249,29.0,-21.612916938989546,54.09852368636976,30.0,-32.12811065555083,73.34867192247367,33.0,-46.07845558730545,87.19039972022227,34.0,-60.26639827030643,98.06856237364966,34.0,-76.16686394242463,146.87530363159564,33.0,-76.72704555645063,115.58270545436083,36.0,-80.48126576939447
20221125,08_us_cont_500us,150V_d_0.5ms_f_500.0kHz_w_0%,2.8347755769087106,1.44,64.20135379416986,29.0,-18.57638229191999,87.63289845635639,29.0,-27.01696254863813,71.0939552106946,30.0,-36.79360712548638,102.98722949032933,32.0,-52.78845167345574,104.67550863342446,33.0,-64.67952505623784,105.6276682430757,34.0,-76.23019088567,113.76740373380537,32.0,-76.37412223370623,71.20279431757069,29.0,-80.20893497689688
20221125,08_us_cont_500us,150V_d_0.5ms_f_500.0kHz_w_25%,3.4446970329186426,1.28,30.239795580716947,28.0,-18.37047769865637,51.72836835754178,28.0,-26.845885992977873,84.69850355735568,31.0,-38.562094840558125,144.1158931836834,35.0,-56.5615524113874,194.74542644641528,35.0,-69.67221271203186,140.47160354549592,35.0,-80.60685094692366,224.64727591358474,33.0,-76.72972920339859,144.34805509409568,32.0,-76.73029918151143
20221125,05_us_cont_1ms,150V_d_1.0ms_f_500.0kHz_w_25%,5.2776127876301455,2.84,30.187773233120165,29.0,-9.983166646400779,38.11257781766242,34.0,-14.958505593385215,45.70283688130476,36.0,-23.663638816269458,66.04383043266247,36.0,-38.19684574112354,63.1203141876216,38.0,-51.7169878176678,70.09522971726544,41.0,-62.6915838931785,83.84799060858101,44.0,-58.897963943184585,60.25058007766371,46.0,-59.41396037892145
20221125,05_us_cont_1ms,150V_d_1.0ms_f_500.0kHz_w_10%,5.2232351596818605,1.6,38.51634902256083,30.0,-9.539391187378403,36.710542967287644,34.0,-13.640870565570282,49.28945884286868,37.0,-22.565089125577575,71.98890039654081,40.0,-36.557743057666585,75.03048853322083,42.0,-48.616912485560555,49.92394769900702,42.0,-60.50952955906494,75.15262511989353,40.0,-58.99608330040127,56.58553624439968,46.0,-61.84714944446133
20221125,05_us_cont_1ms,150V_d_1.0ms_f_500.0kHz_w_0%,5.656133929993693,2.88,21.25156107711618,35.0,-7.438534985256567,21.19423418071025,35.0,-9.479959094570768,18.108531358039887,34.0,-14.49180038986503,51.647143650097725,34.0,-23.756010894181664,38.69975984932937,36.0,-31.057786755988566,22.61195709872144,43.0,-37.562198861563715,35.159449345979134,40.0,-36.83060820464494,34.92944755283435,40.0,-37.470123647251945
