date,filename,stim_params,abr_z_score,abr_latency,lfp_z_score_100,lfp_latency_100,lfp_ampliture_100,lfp_z_score_200,lfp_latency_200,lfp_ampliture_200,lfp_z_score_300,lfp_latency_300,lfp_ampliture_300,lfp_z_score_400,lfp_latency_400,lfp_ampliture_400,lfp_z_score_500,lfp_latency_500,lfp_ampliture_500,lfp_z_score_600,lfp_latency_600,lfp_ampliture_600,lfp_z_score_700,lfp_latency_700,lfp_ampliture_700,lfp_z_score_800,lfp_latency_800,lfp_ampliture_800
20220914,07_us_cont_1ms,150V_d_1.0ms_f_500.0kHz_w_25%,8.167207285,1.24,11.82880747,22,-6.18723116,13.40322621,93,-5.667126132,14.9193094,95,-8.604294595,22.57279376,26,-36.04577209,32.45534987,27,-100.9686541,42.07231231,26,-186.3964986,58.96771799,24,-236.1579628,81.69862006,24,-241.4581655
20220914,07_us_cont_1ms,150V_d_1.0ms_f_500.0kHz_w_0%,8.994369678,1.6,19.98366146,24,-13.55360454,34.4929472,23,-15.39297141,37.96799625,23,-29.38237172,93.17341926,24,-84.92792627,81.17965691,25,-190.3483469,84.06234605,25,-301.4323312,85.77210907,25,-352.8200142,97.85117521,24,-315.085682
20220914,07_us_cont_1ms,150V_d_1.0ms_f_500.0kHz_w_10%,6.870140204,1.28,1.64112325,33,-1.180597889,2.044683001,73,-0.688682102,1.082459427,93,0.203032758,1.611009927,33,0.30642907,3.032772662,32,0.231858396,1.974574084,32,-1.05589567,1.030659155,32,-1.438775347,-0.04738935,47,-1.848600728
20220914,03_ex_click,30dB,10.92731408,1.48,195.7820316,28,-625.006531,195.5733591,27,-852.3322079,177.5802565,27,-954.5809378,207.2773416,27,-948.6080422,272.6417755,28,-924.2106041,296.3706722,28,-919.4916603,282.1505887,30,-769.3653626,192.4878367,30,-564.1649298
20220914,03_ex_click,40dB,26.30670468,1.4,227.402021,27,-614.7487061,215.9689336,27,-820.1800988,202.4095895,27,-910.638594,236.1818746,27,-908.1407836,275.5892022,27,-889.4526263,241.1001264,29,-884.9652361,218.7127429,30,-747.8575948,130.7995914,30,-552.4981903
20220914,03_ex_click,60dB,33.48270533,1.32,166.240212,26,-760.9688725,196.052888,26,-986.3257501,268.6509762,26,-1073.681427,462.2991961,25,-1028.84968,237.5007034,25,-945.4624755,118.4642914,28,-914.7305618,77.2623124,28,-775.1369847,46.39850628,28,-559.1728715
20220914,03_ex_click,20dB,5.751822366,1.68,167.7637905,24,-629.4179241,173.6581307,24,-804.9539648,198.5020617,25,-850.8817324,276.5119303,26,-805.0400552,372.2550597,26,-739.5151339,258.181957,26,-699.5988542,156.7656925,27,-561.3013835,99.2214545,25,-396.2547213
20220914,03_ex_click,50dB,37.19405538,1.36,41.54233109,25,-91.70879017,38.25341005,25,-109.6337058,36.61746895,24,-115.7920144,38.59118773,24,-110.3786122,41.25095717,24,-98.04326838,37.97665956,24,-94.92215243,32.47736189,24,-80.42422208,20.86889782,24,-60.5281483
20220914,02_us_cont_test,sham,1.594325791,3.92,1.852885613,95,-7.755264698,2.385340879,95,-12.83697581,2.97299022,95,-14.67990504,3.787823968,95,-17.30714791,4.63075811,94,-20.51921206,5.246368828,94,-24.16825944,6.782596375,94,-24.74239364,7.682622522,93,-25.00244616
20220914,02_us_cont_test,150V_d_10.0ms_f_500.0kHz_w_25%,5.838852366,2.84,397.7444094,35,-618.605558,478.2735185,34,-891.9902163,424.951779,34,-937.3919416,296.2122158,33,-926.6009498,251.0687253,33,-877.6986089,379.3923845,34,-899.3019668,475.7807348,34,-744.0191484,362.6139711,32,-588.4923081
20220914,02_us_cont_test,150V_d_5.0ms_f_500.0kHz_w_25%,10.97760694,2.68,5.045576782,99,12.38525891,4.973514013,99,15.73468818,4.354067727,99,18.86148922,4.392633908,99,17.05232214,4.706505387,99,9.712469382,4.042188242,99,17.16050945,2.877811079,99,16.00421843,1.75522663,98,10.13583824
20220914,05_us_cont_500us,150V_d_0.5ms_f_500.0kHz_w_0%,6.455028696,2.76,27.48460384,26,-21.6900421,47.67609049,26,-57.95133717,65.33184821,26,-153.0409045,75.81267687,26,-257.5226424,73.17383179,26,-359.6449084,68.3212308,26,-429.6851251,67.95993873,27,-403.6644368,60.96605692,28,-305.3105573
20220914,05_us_cont_500us,150V_d_0.5ms_f_500.0kHz_w_25%,12.88832701,1.28,10.04409207,26,-5.265766545,16.60020785,28,-12.85656881,33.37782132,28,-37.03670279,61.86183336,30,-72.54930786,85.86689195,29,-125.7710141,76.4569866,28,-164.779485,64.58566759,27,-162.3944828,59.60859773,30,-150.6796514
20220914,05_us_cont_500us,150V_d_0.5ms_f_500.0kHz_w_10%,8.69813878,1.24,-0.45866345,1,-1.351402108,-0.777765336,1,-1.442764504,-0.31573694,6,0.75500869,0.188221506,1,2.54672679,0.447199171,0,5.603560291,0.767044559,1,7.737252915,1.100328869,1,6.897860902,1.104683492,1,7.690937256
20220914,09_us_burst_10_20_pulses,150V_d_6.7ms_f_500.0kHz_w_25%_prf_1500Hz_pd_0us,9.906823056,1.72,16.30727394,99,-4.168558677,18.89197181,96,-4.79790951,16.08824995,99,-4.616822714,23.48456028,99,-7.888259591,37.61434312,99,-30.84294063,41.40179087,99,-32.07908066,218.3378411,23,-94.07844989,291.8489871,23,-315.403326
20220914,09_us_burst_10_20_pulses,75V_d_6.7ms_f_500.0kHz_w_25%_prf_1500Hz_pd_0us,4.049955055,2.44,8.515525507,99,-2.239539002,13.33466211,97,-2.707989763,17.35808701,98,-3.058882539,18.87428418,99,-4.755754879,32.29324985,99,-17.9857781,25.93116817,99,-24.12135499,114.8779965,26,-56.36905418,145.733188,25,-231.6064501
20220914,09_us_burst_10_20_pulses,150V_d_13.4ms_f_500.0kHz_w_25%_prf_1500Hz_pd_0us,17.25065166,1.36,0.906159293,17,-0.320612688,1.008711657,63,0.173368343,1.338441093,44,0.191773886,0.268404885,59,0.31823778,0.544996709,29,0.505261848,0.595495103,26,0.843092625,1.79954678,75,-2.799423752,4.124724425,74,-14.62943823
20220914,09_us_burst_10_20_pulses,75V_d_13.4ms_f_500.0kHz_w_25%_prf_1500Hz_pd_0us,7.470005622,3.44,2.293238587,25,-0.65310248,3.894897114,28,-0.594566608,3.068186487,16,-0.703745875,3.67591628,16,-0.600485966,2.787583916,52,-0.330168625,2.308099734,28,-0.655075599,2.355784412,76,-1.576522301,6.205047899,76,-6.619815169
20220914,10_us_cont_low,75V_d_1.0ms_f_500.0kHz_w_0%,16.83531318,2.48,4.779174807,95,-3.142004347,6.608484588,97,-2.919950374,8.900432413,97,-3.000697273,9.620778504,95,-3.951848249,17.99091278,97,-9.325673144,27.10977568,97,-23.69980868,12.95520181,97,-13.1445265,119.777039,25,-120.5212782
20220914,10_us_cont_low,75V_d_20.0ms_f_500.0kHz_w_25%,2.906899438,1.84,4.409802226,98,-1.882708954,8.620627836,99,-2.130293197,10.0858021,99,-2.173635282,9.107590059,99,-2.871264743,26.4374224,99,-8.039660027,25.75894653,99,-17.92878028,13.41557127,99,-8.846535293,97.82810589,31,-87.58129313
20220914,10_us_cont_low,75V_d_1.0ms_f_500.0kHz_w_25%,7.001156029,1.24,1.516204617,31,-0.83774908,2.666687897,33,-0.851998533,0.961380225,33,-0.269552149,2.258375266,31,-0.691098462,-0.084888454,5,0.423921221,-0.689412177,13,1.076427415,0.878123631,4,-0.168618525,3.666226686,90,-8.809724207
