date,filename,stim_params,abr_z_score,abr_latency,lfp_z_score_100,lfp_latency_100,lfp_ampliture_100,lfp_z_score_200,lfp_latency_200,lfp_ampliture_200,lfp_z_score_300,lfp_latency_300,lfp_ampliture_300,lfp_z_score_400,lfp_latency_400,lfp_ampliture_400,lfp_z_score_500,lfp_latency_500,lfp_ampliture_500,lfp_z_score_600,lfp_latency_600,lfp_ampliture_600,lfp_z_score_700,lfp_latency_700,lfp_ampliture_700,lfp_z_score_800,lfp_latency_800,lfp_ampliture_800
20220804,05_us_burst_and_sham,sham,0.801039816,1.84,3.271857176,94,-12.32696414,3.291229817,97,-11.16563374,2.191131949,97,-7.584271264,1.675861938,97,-4.659571072,0.918969724,94,-2.890857741,0.474498278,68,-2.091700929,2.838105925,94,-10.73577525,3.101988064,97,-11.63824059
20220804,05_us_burst_and_sham,150V_d_6.7ms_f_500.0kHz_w_25%_prf_1500Hz_pd_0us,18.49390396,1.24,44.36005814,27,-209.6409185,39.10327746,29,-192.922748,37.62250103,32,-181.4881559,33.56567924,32,-168.0158919,26.4869402,32,-126.1622804,16.48321287,32,-74.32277101,24.67242035,29,-123.9227414,37.78952745,27,-180.1540508
20220804,05_us_burst_and_sham,150V_d_6.7ms_f_500.0kHz_w_0%_prf_1500Hz_pd_0us,14.19636895,3.4,2.340017807,22,1.694793073,2.936385719,22,2.752861368,0.509571543,2,10.58696229,0.834473566,22,12.10216632,0.929969846,22,8.325145078,1.718815382,22,3.204345703,3.471916041,53,-1.883173185,2.33654224,22,0.824476956
20220804,07_us_cont_20ms,150V_d_20.0ms_f_500.0kHz_w_10%,2.166277067,2.48,28.02634858,31,-129.8065779,28.42879983,32,-120.9968537,25.79235678,34,-115.2804482,23.93371292,34,-108.9085679,19.57178746,34,-85.15294888,13.64322555,34,-59.06160703,21.92968508,51,-92.04315304,25.13136426,29,-110.1927998
20220804,07_us_cont_20ms,150V_d_20.0ms_f_500.0kHz_w_25%,0.776279252,1.28,28.50944704,33,-122.8261272,26.48405178,35,-112.0743213,22.51076659,37,-99.07525801,20.02279981,35,-87.09206191,15.45451554,37,-68.31900155,10.54528113,35,-46.89791787,19.21892936,32,-77.61914442,24.32050658,32,-104.7791952
20220804,07_us_cont_20ms,150V_d_20.0ms_f_500.0kHz_w_0%,7.759919039,2.64,3.785845795,44,-12.25633368,3.75994594,71,-12.16958637,6.242153104,70,-18.57453329,5.998290739,71,-18.02658986,6.003626246,70,-14.46745391,5.763587829,50,-10.04458936,4.330169937,44,-9.127189777,4.556012482,70,-10.64870011
20220804,06_us_cont_1ms,150V_d_1.0ms_f_500.0kHz_w_0%,12.27162963,2.64,53.41036911,25,-168.7966432,51.511248,28,-165.2402173,56.80774278,30,-174.1194076,53.11043926,31,-167.0493041,50.41115963,30,-123.0980543,45.21875935,30,-71.90452012,28.73845994,25,-106.1898911,47.11873953,25,-147.7365457
20220804,06_us_cont_1ms,150V_d_1.0ms_f_500.0kHz_w_10%,11.01188538,3.72,69.21755837,26,-137.1759199,81.24914278,28,-137.8367383,111.2807911,30,-159.5499358,100.6683998,31,-157.9118424,88.75962618,30,-117.5110813,68.51715321,30,-70.66481772,49.62044262,23,-97.58144037,79.36295262,23,-127.5949441
20220804,06_us_cont_1ms,150V_d_1.0ms_f_500.0kHz_w_25%,7.956988934,3,0.384977998,14,-2.601230267,0.433653639,11,-3.133557506,0.663742779,14,-4.154165995,1.224788173,11,-4.767034472,2.856808088,11,-5.680044902,2.418257503,11,-4.836878826,0.899921585,11,-3.207806459,0.333045479,11,-2.278436091
20220804,04_us_cont_10ms,150V_d_10.0ms_f_500.0kHz_w_0%,11.85278837,3.24,34.78364475,26,-157.5354194,36.70498155,27,-164.9712589,50.38544358,29,-220.1118915,53.85575522,31,-230.6297688,44.02693993,31,-184.2157386,26.46615825,30,-114.2022396,17.59161278,21,-80.54384462,25.93430394,22,-118.1048085
20220804,04_us_cont_10ms,150V_d_10.0ms_f_500.0kHz_w_25%,3.7470702,1.76,14.53602823,29,-91.00353671,14.13778399,30,-86.04650831,11.87666225,35,-87.13065418,12.74813105,36,-85.9829795,11.31867278,36,-64.3736843,7.45737116,36,-34.81378815,12.57106031,29,-67.11017297,13.92944158,30,-83.67931796
20220804,04_us_cont_10ms,150V_d_10.0ms_f_500.0kHz_w_10%,6.124644174,2,1.28718135,4,13.07303445,0.645020411,96,13.18546764,0.977527169,9,16.34832014,1.024275816,33,13.22562234,1.815222668,1,6.049976014,2.632439801,1,-0.837225663,0.716560425,1,7.35031931,0.819750559,1,12.91843883
20220804,02_ex_click,50dB,18.47302096,1.56,23.05754023,28,-173.3416249,39.830129,31,-304.5119942,68.6241411,34,-521.8618668,63.78889031,33,-489.7026329,39.86575279,34,-302.7088447,17.31639001,34,-128.4172563,15.06302254,56,-120.6845532,17.29264791,56,-127.1324306
20220804,02_ex_click,30dB,8.169733108,1.36,16.67531472,27,-119.1622367,26.28833109,30,-189.1697984,45.16158261,33,-323.4412049,43.59725479,33,-311.8178074,27.46726817,33,-197.4760419,11.41877991,33,-84.107989,13.30642617,55,-94.85623252,13.50160712,54,-93.89439446
20220804,02_ex_click,40dB,32.05006286,1.64,18.45356245,27,-145.9007412,28.80622619,29,-232.5486951,47.51326417,32,-379.1209418,45.39125278,32,-355.1925481,29.10747152,32,-221.9429461,12.32475393,32,-95.03672559,11.86097073,55,-101.6603462,12.71045023,25,-104.7138852
20220804,02_ex_click,20dB,2.82456102,1.76,13.2322491,27,-102.4580547,21.78643119,29,-157.4078523,36.11358702,32,-256.0969512,33.99053482,32,-242.3612477,20.79426859,32,-145.2371349,8.16204958,32,-57.23267998,11.07277301,54,-90.26219698,11.95008786,54,-94.64848778
20220804,08_us_cont_0.5ms,150V_d_0.5ms_f_500.0kHz_w_25%,3.50862862,1.68,36.30073049,25,-60.23006217,34.16339311,27,-54.09982882,38.17910663,27,-55.70467344,47.66254824,29,-55.01120007,42.32010268,29,-44.39832635,42.18224008,27,-32.99104564,40.48871905,47,-52.71881935,33.09265105,24,-56.8321614
20220804,08_us_cont_0.5ms,150V_d_0.5ms_f_500.0kHz_w_0%,5.596556923,2.48,46.70048611,24,-115.313697,60.66049065,24,-106.4659742,72.40872078,26,-104.5369545,92.35008723,27,-100.4568612,74.47123304,28,-78.9348439,48.620849,27,-51.58480039,28.60583581,21,-64.20744068,38.28215465,21,-97.30298232
20220804,08_us_cont_0.5ms,150V_d_0.5ms_f_500.0kHz_w_10%,6.661415331,1.4,3.198154925,2,-71.67956294,3.138296848,2,-72.94510822,3.169273211,2,-78.38595643,3.085062783,58,-76.4944894,3.211239953,58,-75.79071668,3.171045637,58,-73.315056,3.274921753,58,-68.6664192,3.11884003,2,-68.53376116
20220804,03_us_cont_5ms,150V_d_5.0ms_f_500.0kHz_w_10%,4.867273506,2.56,9.670756425,27,-57.13318109,11.51233079,33,-64.32381122,16.04965256,39,-86.56839452,16.46219619,38,-82.5625171,12.76026209,38,-59.66245896,7.549470965,37,-34.41717838,9.462106899,64,-53.13086602,9.857330263,29,-56.98474929
20220804,03_us_cont_5ms,150V_d_5.0ms_f_500.0kHz_w_0%,10.33333365,3,11.73358393,24,-59.09841812,13.32531818,27,-65.13128021,21.29963491,29,-90.51727414,22.34538331,31,-92.69744042,16.34175143,31,-65.24586956,7.963299903,31,-29.06710257,7.694775319,20,-37.58649418,10.60633211,23,-52.07462533
20220804,03_us_cont_5ms,150V_d_5.0ms_f_500.0kHz_w_25%,4.950991718,2.8,11.25376123,34,-56.92062675,11.34894582,37,-56.51689225,10.96848541,38,-55.83648088,9.501348141,41,-46.6562709,7.288781994,41,-34.77816452,5.461267357,34,-24.37428278,14.40361718,52,-65.68166532,13.24595488,46,-60.72641811
